           #Fx:            Fy:
       0.184379    0.000394385
      0.0605112     0.00100673
       0.509157      0.0013978
       0.554784    0.000871867
       0.631161     0.00050186
       0.543906    0.000405017
       0.472827    0.000384469
       0.448794    0.000366069
       0.396535    0.000339925
       0.337612    0.000117112
       0.336648    0.000217941
       0.317703    0.000297323
       0.294235    0.000408191
       0.272273    0.000332374
       0.221302    0.000246011
        0.17769    3.18773e-05
        0.15473    5.12116e-05
       0.121787   -2.62819e-05
      0.0922642    2.58349e-05
        0.08571    0.000153966
      0.0594039    0.000365831
      0.0217485    0.000267394
    -0.00303486    0.000239171
     -0.0232811    0.000108443
     -0.0474896    5.29066e-05
     -0.0592799   -6.80611e-06
     -0.0866061    0.000106554
         -0.112     0.00012479
      -0.123099    0.000286374
      -0.127509    0.000340804
      -0.148927    0.000421278
      -0.163889    0.000324532
      -0.185774    0.000308916
      -0.200609    0.000292331
      -0.211002     0.00047436
      -0.213571    0.000536092
      -0.231236    0.000676438
      -0.241217    0.000689521
      -0.254777    0.000726476
      -0.259968    0.000694998
      -0.269808    0.000843752
      -0.273281    0.000811204
      -0.286581    0.000862267
      -0.289571    0.000919744
      -0.297152     0.00107353
      -0.297814     0.00109709
      -0.306193     0.00129465
      -0.308401     0.00131399
      -0.317947     0.00130623
      -0.317608     0.00127791
      -0.324086     0.00141488
      -0.324576     0.00144577
      -0.330388     0.00163882
      -0.328099     0.00174296
      -0.333375     0.00180316
      -0.331593     0.00176699
      -0.336746     0.00186884
      -0.336023     0.00186478
      -0.340088     0.00193408
      -0.336497      0.0019793
      -0.340165     0.00207539
      -0.337642     0.00209469
      -0.340519     0.00221018
      -0.338046     0.00225672
      -0.341005     0.00231161
      -0.337094     0.00229828
      -0.339232     0.00234833
      -0.336375     0.00236856
      -0.338155     0.00246612
      -0.334666     0.00252663
       -0.33617     0.00259834
      -0.331964     0.00258324
      -0.333051     0.00261129
      -0.330028     0.00263859
      -0.330851     0.00271544
      -0.326796     0.00273532
      -0.327512     0.00279137
       -0.32367      0.0028061
      -0.324042     0.00285208
